Release Date,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Time,Actual,Forecast,Previous
12/18/2009,2009,12,1,12,31,12/1/2009,12/31/2009,2009-12-01,2009-12-31,4:00,91.2,,91
11/24/2009,2009,11,1,11,30,11/1/2009,11/30/2009,2009-11-02,2009-11-30,4:00,91,,89.6
10/23/2009,2009,10,1,10,31,10/1/2009,10/31/2009,2009-10-01,2009-10-30,3:00,89.6,,89.6
9/24/2009,2009,9,1,9,30,9/1/2009,9/30/2009,2009-09-01,2009-09-30,3:00,89.6,,87
8/26/2009,2009,8,1,8,31,8/1/2009,8/31/2009,2009-08-03,2009-08-31,3:00,87,,84.6
7/24/2009,2009,7,1,7,31,7/1/2009,7/31/2009,2009-07-01,2009-07-31,3:00,84.6,,83.7
6/22/2009,2009,6,1,6,30,6/1/2009,6/30/2009,2009-06-01,2009-06-30,3:00,83.7,,81.4
5/25/2009,2009,5,1,5,31,5/1/2009,5/31/2009,2009-05-01,2009-05-29,3:00,81.4,,81.1
4/24/2009,2009,4,1,4,30,4/1/2009,4/30/2009,2009-04-01,2009-04-30,3:00,81.1,,80
3/25/2009,2009,3,1,3,31,3/1/2009,3/31/2009,2009-03-02,2009-03-31,4:00,80,,81.2
2/24/2009,2009,2,1,2,28,2/1/2009,2/28/2009,2009-02-02,2009-02-27,4:00,81.2,,81.8
1/27/2009,2009,1,1,1,31,1/1/2009,1/31/2009,2009-01-01,2009-01-30,4:00,81.8,,81.1
12/18/2008,2008,12,1,12,31,12/1/2008,12/31/2008,2008-12-01,2008-12-31,4:00,81.1,,84.6
11/24/2008,2008,11,1,11,30,11/1/2008,11/30/2008,2008-11-03,2008-11-28,4:00,84.6,,87.1
10/27/2008,2008,10,1,10,31,10/1/2008,10/31/2008,2008-10-01,2008-10-31,4:00,87.1,,91.2
9/24/2008,2008,9,1,9,30,9/1/2008,9/30/2008,2008-09-01,2008-09-30,3:00,92.9,94.2,94.8
8/26/2008,2008,8,1,8,31,8/1/2008,8/31/2008,2008-08-01,2008-08-29,3:00,94.8,97.1,97.5
7/24/2008,2008,7,1,7,31,7/1/2008,7/31/2008,2008-07-01,2008-07-31,3:00,97.5,100.2,101.3
6/23/2008,2008,6,1,6,30,6/1/2008,6/30/2008,2008-06-02,2008-06-30,3:00,101.3,102.5,103.5
5/21/2008,2008,5,1,5,31,5/1/2008,5/31/2008,2008-05-01,2008-05-30,4:00,103.5,102.1,102.4
4/24/2008,2008,4,1,4,30,4/1/2008,4/30/2008,2008-04-01,2008-04-30,3:00,102.4,104.3,104.8
3/26/2008,2008,3,1,3,31,3/1/2008,3/31/2008,2008-03-03,2008-03-31,4:00,104.8,103.5,104.1
2/26/2008,2008,2,1,2,29,2/1/2008,2/29/2008,2008-02-01,2008-02-29,4:00,100,100,100
1/24/2008,2008,1,1,1,31,1/1/2008,1/31/2008,2008-01-01,2008-01-31,4:00,103.4,102.3,103
12/19/2007,2007,12,1,12,31,12/1/2007,12/31/2007,2007-12-03,2007-12-31,4:00,103,103.8,104.2
11/27/2007,2007,11,1,11,30,11/1/2007,11/30/2007,2007-11-01,2007-11-30,4:00,104.2,103.3,103.9
10/25/2007,2007,10,1,10,31,10/1/2007,10/31/2007,2007-10-01,2007-10-31,4:00,103.9,103.7,104.2
9/25/2007,2007,9,1,9,30,9/1/2007,9/30/2007,2007-09-03,2007-09-28,4:00,104.2,105,105.8
8/28/2007,2007,8,1,8,31,8/1/2007,8/31/2007,2007-08-01,2007-08-31,4:00,105.8,105.5,106.4
7/26/2007,2007,7,1,7,31,7/1/2007,7/31/2007,2007-07-02,2007-07-31,4:00,106.4,106.5,107
6/22/2007,2007,6,1,6,30,6/1/2007,6/30/2007,2007-06-01,2007-06-29,4:00,107,108.4,108.6
5/24/2007,2007,5,1,5,31,5/1/2007,5/31/2007,2007-05-01,2007-05-31,4:00,108.6,108.9,108.6
4/25/2007,2007,4,1,4,30,4/1/2007,4/30/2007,2007-04-02,2007-04-30,4:00,108.6,107.7,107.7
3/27/2007,2007,3,1,3,31,3/1/2007,3/31/2007,2007-03-01,2007-03-30,4:00,107.7,106.5,107
2/23/2007,2007,2,1,2,28,2/1/2007,2/28/2007,2007-02-01,2007-02-28,4:00,107,107.5,107.9
1/25/2007,2007,1,1,1,31,1/1/2007,1/31/2007,2007-01-01,2007-01-31,4:00,107.9,108.9,108.7
12/19/2006,2006,12,1,12,31,12/1/2006,12/31/2006,2006-12-01,2006-12-29,4:00,108.7,106.8,106.8
11/23/2006,2006,11,1,11,30,11/1/2006,11/30/2006,2006-11-01,2006-11-30,4:00,106.8,105.1,105.3
10/25/2006,2006,10,1,10,31,10/1/2006,10/31/2006,2006-10-02,2006-10-31,4:00,105.3,104.5,104.9
9/26/2006,2006,9,1,9,30,9/1/2006,9/30/2006,2006-09-01,2006-09-29,4:00,104.9,104.3,105
8/27/2006,2006,8,1,8,31,8/1/2006,8/31/2006,2006-08-01,2006-08-31,4:00,105,104.8,105.6
7/26/2006,2006,7,1,7,31,7/1/2006,7/31/2006,2006-07-03,2006-07-31,4:00,105.6,106,106.8
6/27/2006,2006,6,1,6,30,6/1/2006,6/30/2006,2006-06-01,2006-06-30,4:00,106.8,105,105.6
5/24/2006,2006,5,1,5,31,5/1/2006,5/31/2006,2006-05-01,2006-05-31,4:00,105.6,105,105.7
4/25/2006,2006,4,1,4,30,4/1/2006,4/30/2006,2006-04-03,2006-04-28,4:00,105.9,104.8,105.4
3/28/2006,2006,3,1,3,31,3/1/2006,3/31/2006,2006-03-01,2006-03-31,4:00,105.4,102.9,103.3
2/23/2006,2006,2,1,2,28,2/1/2006,2/28/2006,2006-02-01,2006-02-28,4:00,103.3,101.5,103.4
1/25/2006,2006,1,1,1,31,1/1/2006,1/31/2006,2006-01-02,2006-01-31,4:00,102,99.9,101.8
12/16/2005,2005,12,1,12,31,12/1/2005,12/31/2005,2005-12-01,2005-12-30,4:00,99.6,98.2,99.7
11/24/2005,2005,11,1,11,30,11/1/2005,11/30/2005,2005-11-01,2005-11-30,4:00,97.8,98.6,98.7
10/25/2005,2005,10,1,10,31,10/1/2005,10/31/2005,2005-10-03,2005-10-31,4:00,98.7,96.1,98.8
9/27/2005,2005,9,1,9,30,9/1/2005,9/30/2005,2005-09-01,2005-09-30,4:00,96,94.1,94.6
8/25/2005,2005,8,1,8,31,8/1/2005,8/31/2005,2005-08-01,2005-08-31,4:00,94.6,95.1,95
7/26/2005,2005,7,1,7,31,7/1/2005,7/31/2005,2005-07-01,2005-07-29,4:00,95,93.9,93.3
6/27/2005,2005,6,1,6,30,6/1/2005,6/30/2005,2005-06-01,2005-06-30,4:00,93.3,93.1,92.9
5/25/2005,2005,5,1,5,31,5/1/2005,5/31/2005,2005-05-02,2005-05-31,4:00,92.9,93.3,93.3
4/25/2005,2005,4,1,4,30,4/1/2005,4/30/2005,2005-04-01,2005-04-29,4:00,93.3,93.5,94
3/23/2005,2005,3,1,3,31,3/1/2005,3/31/2005,2005-03-01,2005-03-31,4:00,94,95.5,95.5
2/23/2005,2005,2,1,2,28,2/1/2005,2/28/2005,2005-02-01,2005-02-28,4:00,95.5,96.6,95.4
