observation_date,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),ZAFPROMANMISMEI,South Africa Industrial Production
1997-05-01,1997,5,1,5,31,1997-05-01,1997-05-31,1997-05-01,1997-05-30,86.6331092148690,86.63
1997-06-01,1997,6,1,6,30,1997-06-01,1997-06-30,1997-06-02,1997-06-30,86.5458184045771,86.55
1997-07-01,1997,7,1,7,31,1997-07-01,1997-07-31,1997-07-01,1997-07-31,87.2459157837488,87.25
1997-08-01,1997,8,1,8,31,1997-08-01,1997-08-31,1997-08-01,1997-08-29,86.3267645897498,86.33
1997-09-01,1997,9,1,9,30,1997-09-01,1997-09-30,1997-09-01,1997-09-30,85.7855833295516,85.79
1997-10-01,1997,10,1,10,31,1997-10-01,1997-10-31,1997-10-01,1997-10-31,87.7310011719828,87.73
1997-11-01,1997,11,1,11,30,1997-11-01,1997-11-30,1997-11-03,1997-11-28,85.5187355465605,85.52
1997-12-01,1997,12,1,12,31,1997-12-01,1997-12-31,1997-12-01,1997-12-31,83.3921437445138,83.39
1998-01-01,1998,1,1,1,31,1998-01-01,1998-01-31,1998-01-01,1998-01-30,84.2070172514376,84.21
1998-02-01,1998,2,1,2,28,1998-02-01,1998-02-28,1998-02-02,1998-02-27,84.1070089174098,84.11
1998-03-01,1998,3,1,3,31,1998-03-01,1998-03-31,1998-03-02,1998-03-31,83.6069672472706,83.61
1998-04-01,1998,4,1,4,30,1998-04-01,1998-04-30,1998-04-01,1998-04-30,83.4069505792150,83.41
1998-05-01,1998,5,1,5,31,1998-05-01,1998-05-31,1998-05-01,1998-05-29,83.3069422451871,83.31
1998-06-01,1998,6,1,6,30,1998-06-01,1998-06-30,1998-06-01,1998-06-30,84.1070089174098,84.11
1998-07-01,1998,7,1,7,31,1998-07-01,1998-07-31,1998-07-01,1998-07-31,82.9069089090758,82.91
1998-08-01,1998,8,1,8,31,1998-08-01,1998-08-31,1998-08-03,1998-08-31,82.1068422368531,82.11
1998-09-01,1998,9,1,9,30,1998-09-01,1998-09-30,1998-09-01,1998-09-30,84.1070089174098,84.11
1998-10-01,1998,10,1,10,31,1998-10-01,1998-10-31,1998-10-01,1998-10-30,81.6068005667139,81.61
1998-11-01,1998,11,1,11,30,1998-11-01,1998-11-30,1998-11-02,1998-11-30,81.6068005667139,81.61
1998-12-01,1998,12,1,12,31,1998-12-01,1998-12-31,1998-12-01,1998-12-31,81.7068089007417,81.71
1999-01-01,1999,1,1,1,31,1999-01-01,1999-01-31,1999-01-01,1999-01-29,82.3068589049087,82.31
1999-02-01,1999,2,1,2,28,1999-02-01,1999-02-28,1999-02-01,1999-02-26,80.9067422285190,80.91
1999-03-01,1999,3,1,3,31,1999-03-01,1999-03-31,1999-03-01,1999-03-31,79.9066588882407,79.91
1999-04-01,1999,4,1,4,30,1999-04-01,1999-04-30,1999-04-01,1999-04-30,81.2067672306026,81.21
1999-05-01,1999,5,1,5,31,1999-05-01,1999-05-31,1999-05-03,1999-05-31,83.4069505792150,83.41
1999-06-01,1999,6,1,6,30,1999-06-01,1999-06-30,1999-06-01,1999-06-30,79.8066505542128,79.81
1999-07-01,1999,7,1,7,31,1999-07-01,1999-07-31,1999-07-01,1999-07-30,82.2068505708809,82.21
1999-08-01,1999,8,1,8,31,1999-08-01,1999-08-31,1999-08-02,1999-08-31,83.6069672472706,83.61
1999-09-01,1999,9,1,9,30,1999-09-01,1999-09-30,1999-09-01,1999-09-30,83.5069589132428,83.51
1999-10-01,1999,10,1,10,31,1999-10-01,1999-10-31,1999-10-01,1999-10-29,83.4069505792150,83.41
1999-11-01,1999,11,1,11,30,1999-11-01,1999-11-30,1999-11-01,1999-11-30,84.5070422535211,84.51
1999-12-01,1999,12,1,12,31,1999-12-01,1999-12-31,1999-12-01,1999-12-31,84.4070339194933,84.41
2000-01-01,2000,1,1,1,31,2000-01-01,2000-01-31,2000-01-03,2000-01-31,85.2071005917160,85.21
2000-02-01,2000,2,1,2,29,2000-02-01,2000-02-29,2000-02-01,2000-02-29,85.9071589299108,85.91
2000-03-01,2000,3,1,3,31,2000-03-01,2000-03-31,2000-03-01,2000-03-31,86.5072089340778,86.51
2000-04-01,2000,4,1,4,30,2000-04-01,2000-04-30,2000-04-03,2000-04-28,82.4068672389366,82.41
2000-05-01,2000,5,1,5,31,2000-05-01,2000-05-31,2000-05-01,2000-05-31,85.4071172597716,85.41
2000-06-01,2000,6,1,6,30,2000-06-01,2000-06-30,2000-06-01,2000-06-30,85.8071505958830,85.81
2000-07-01,2000,7,1,7,31,2000-07-01,2000-07-31,2000-07-03,2000-07-31,85.8071505958830,85.81
2000-08-01,2000,8,1,8,31,2000-08-01,2000-08-31,2000-08-01,2000-08-31,86.7072256021335,86.71
2000-09-01,2000,9,1,9,30,2000-09-01,2000-09-30,2000-09-01,2000-09-29,86.7072256021335,86.71
2000-10-01,2000,10,1,10,31,2000-10-01,2000-10-31,2000-10-02,2000-10-31,86.4072006000500,86.41
2000-11-01,2000,11,1,11,30,2000-11-01,2000-11-30,2000-11-01,2000-11-30,87.2072672722727,87.21
2000-12-01,2000,12,1,12,31,2000-12-01,2000-12-31,2000-12-01,2000-12-29,88.6073839486624,88.61
2001-01-01,2001,1,1,1,31,2001-01-01,2001-01-31,2001-01-01,2001-01-31,88.1073422785232,88.11
2001-02-01,2001,2,1,2,28,2001-02-01,2001-02-28,2001-02-01,2001-02-28,87.8073172764397,87.81
2001-03-01,2001,3,1,3,31,2001-03-01,2001-03-31,2001-03-01,2001-03-30,87.1072589382449,87.11
2001-04-01,2001,4,1,4,30,2001-04-01,2001-04-30,2001-04-02,2001-04-30,87.1072589382449,87.11
2001-05-01,2001,5,1,5,31,2001-05-01,2001-05-31,2001-05-01,2001-05-31,85.1070922576881,85.11
2001-06-01,2001,6,1,6,30,2001-06-01,2001-06-30,2001-06-01,2001-06-29,87.2072672722727,87.21
2001-07-01,2001,7,1,7,31,2001-07-01,2001-07-31,2001-07-02,2001-07-31,87.2072672722727,87.21
2001-08-01,2001,8,1,8,31,2001-08-01,2001-08-31,2001-08-01,2001-08-31,85.4071172597716,85.41
2001-09-01,2001,9,1,9,30,2001-09-01,2001-09-30,2001-09-03,2001-09-28,86.1071755979665,86.11
2001-10-01,2001,10,1,10,31,2001-10-01,2001-10-31,2001-10-01,2001-10-31,88.7073922826902,88.71
2001-11-01,2001,11,1,11,30,2001-11-01,2001-11-30,2001-11-01,2001-11-30,89.6074672889407,89.61
2001-12-01,2001,12,1,12,31,2001-12-01,2001-12-31,2001-12-03,2001-12-31,92.0076673056088,92.01
2002-01-01,2002,1,1,1,31,2002-01-01,2002-01-31,2002-01-01,2002-01-31,90.0075006250521,90.01
2002-02-01,2002,2,1,2,28,2002-02-01,2002-02-28,2002-02-01,2002-02-28,89.6074672889407,89.61
2002-03-01,2002,3,1,3,31,2002-03-01,2002-03-31,2002-03-01,2002-03-29,91.8076506375531,91.81
2002-04-01,2002,4,1,4,30,2002-04-01,2002-04-30,2002-04-01,2002-04-30,90.6075506292191,90.61
2002-05-01,2002,5,1,5,31,2002-05-01,2002-05-31,2002-05-01,2002-05-31,92.2076839736645,92.21
2002-06-01,2002,6,1,6,30,2002-06-01,2002-06-30,2002-06-03,2002-06-28,91.4076173014418,91.41
2002-07-01,2002,7,1,7,31,2002-07-01,2002-07-31,2002-07-01,2002-07-31,90.9075756313026,90.91
2002-08-01,2002,8,1,8,31,2002-08-01,2002-08-31,2002-08-01,2002-08-30,92.0076673056088,92.01
2002-09-01,2002,9,1,9,30,2002-09-01,2002-09-30,2002-09-02,2002-09-30,92.8077339778315,92.81
2002-10-01,2002,10,1,10,31,2002-10-01,2002-10-31,2002-10-01,2002-10-31,92.4077006417201,92.41
2002-11-01,2002,11,1,11,30,2002-11-01,2002-11-30,2002-11-01,2002-11-29,91.7076423035253,91.71
2002-12-01,2002,12,1,12,31,2002-12-01,2002-12-31,2002-12-02,2002-12-31,91.7076423035253,91.71
2003-01-01,2003,1,1,1,31,2003-01-01,2003-01-31,2003-01-01,2003-01-31,90.5075422951913,90.51
2003-02-01,2003,2,1,2,28,2003-02-01,2003-02-28,2003-02-03,2003-02-28,90.4075339611634,90.41
2003-03-01,2003,3,1,3,31,2003-03-01,2003-03-31,2003-03-03,2003-03-31,88.6073839486624,88.61
2003-04-01,2003,4,1,4,30,2003-04-01,2003-04-30,2003-04-01,2003-04-30,90.3075256271356,90.31
2003-05-01,2003,5,1,5,31,2003-05-01,2003-05-31,2003-05-01,2003-05-30,89.0074172847737,89.01
2003-06-01,2003,6,1,6,30,2003-06-01,2003-06-30,2003-06-02,2003-06-30,89.4074506208851,89.41
